id,date,module,severity,title,root_cause,status,fixed_version
QB-00001,2025-02-02,购物车,S2,购物车场景历史问题 1,需求理解不一致,延期,v2.1
QB-00002,2025-03-03,订单,S3,订单场景历史问题 2,旧接口兼容,无法复现,v3.2
QB-00003,2025-04-04,支付,S4,支付场景历史问题 3,并发控制不足,重复问题,v4.3
QB-00004,2025-05-05,售后,S1,售后场景历史问题 4,字段类型不一致,已修复,v5.4
QB-00005,2025-06-06,后台,S2,后台场景历史问题 5,权限校验遗漏,延期,v6.0
QB-00006,2025-07-07,搜索,S3,搜索场景历史问题 6,前端状态未同步,无法复现,v7.1
QB-00007,2025-08-08,会员,S4,会员场景历史问题 7,缓存失效策略不清,重复问题,v8.2
QB-00008,2025-09-09,物流,S1,物流场景历史问题 8,SQL 索引缺失,已修复,v9.3
QB-00009,2025-10-10,移动端,S2,移动端场景历史问题 9,第三方回调异常,延期,v1.4
QB-00010,2025-11-11,商品,S3,商品场景历史问题 10,边界值遗漏,无法复现,v2.0
QB-00011,2025-12-12,购物车,S4,购物车场景历史问题 11,需求理解不一致,重复问题,v3.1
QB-00012,2025-01-13,订单,S1,订单场景历史问题 12,旧接口兼容,已修复,v4.2
QB-00013,2025-02-14,支付,S2,支付场景历史问题 13,并发控制不足,延期,v5.3
QB-00014,2025-03-15,售后,S3,售后场景历史问题 14,字段类型不一致,无法复现,v6.4
QB-00015,2025-04-16,后台,S4,后台场景历史问题 15,权限校验遗漏,重复问题,v7.0
QB-00016,2025-05-17,搜索,S1,搜索场景历史问题 16,前端状态未同步,已修复,v8.1
QB-00017,2025-06-18,会员,S2,会员场景历史问题 17,缓存失效策略不清,延期,v9.2
QB-00018,2025-07-19,物流,S3,物流场景历史问题 18,SQL 索引缺失,无法复现,v1.3
QB-00019,2025-08-20,移动端,S4,移动端场景历史问题 19,第三方回调异常,重复问题,v2.4
QB-00020,2025-09-21,商品,S1,商品场景历史问题 20,边界值遗漏,已修复,v3.0
QB-00021,2025-10-22,购物车,S2,购物车场景历史问题 21,需求理解不一致,延期,v4.1
QB-00022,2025-11-23,订单,S3,订单场景历史问题 22,旧接口兼容,无法复现,v5.2
QB-00023,2025-12-24,支付,S4,支付场景历史问题 23,并发控制不足,重复问题,v6.3
QB-00024,2025-01-25,售后,S1,售后场景历史问题 24,字段类型不一致,已修复,v7.4
QB-00025,2025-02-26,后台,S2,后台场景历史问题 25,权限校验遗漏,延期,v8.0
QB-00026,2025-03-27,搜索,S3,搜索场景历史问题 26,前端状态未同步,无法复现,v9.1
QB-00027,2025-04-01,会员,S4,会员场景历史问题 27,缓存失效策略不清,重复问题,v1.2
